	index	book.type	book.value	article.type	article.value	linkCount.datatype	linkCount.type	linkCount.value	gndId.type	gndId.value	publicationDate.datatype	publicationDate.type	publicationDate.value	bookLabel.xml:lang	bookLabel.type	bookLabel.value	authorLabel.xml:lang	authorLabel.type	authorLabel.value	languageLabel.xml:lang	languageLabel.type	languageLabel.value
59	36	uri	http://www.wikidata.org/entity/Q4837096	uri	https://en.wikipedia.org/wiki/Baa_Baa,_Black_Sheep_(short_story)	http://www.w3.org/2001/XMLSchema#integer	literal	2			http://www.w3.org/2001/XMLSchema#dateTime	literal	1888-01-01T00:00:00Z	en	literal	Baa Baa, Black Sheep	en	literal	Rudyard Kipling	en	literal	English
60	37	uri	http://www.wikidata.org/entity/Q4863158	uri	https://en.wikipedia.org/wiki/Barrack-Room_Ballads	http://www.w3.org/2001/XMLSchema#integer	literal	3						en	literal	Barrack-Room Ballads	en	literal	Rudyard Kipling			
61	38	uri	http://www.wikidata.org/entity/Q4906463	uri	https://en.wikipedia.org/wiki/Big_Steamers	http://www.w3.org/2001/XMLSchema#integer	literal	1						en	literal	Big Steamers	en	literal	Rudyard Kipling			
62	39	uri	http://www.wikidata.org/entity/Q5162879	uri	https://en.wikipedia.org/wiki/Consequences_(Kipling_story)	http://www.w3.org/2001/XMLSchema#integer	literal	1						en	literal	Consequences	en	literal	Rudyard Kipling			
63	40	uri	http://www.wikidata.org/entity/Q5194489	uri	https://en.wikipedia.org/wiki/Cupid%27s_Arrows	http://www.w3.org/2001/XMLSchema#integer	literal	1						en	literal	Cupid's Arrows	en	literal	Rudyard Kipling			
64	41	uri	http://www.wikidata.org/entity/Q5220275	uri	https://en.wikipedia.org/wiki/Danny_Deever	http://www.w3.org/2001/XMLSchema#integer	literal	1						en	literal	Danny Deever	en	literal	Rudyard Kipling			
65	42	uri	http://www.wikidata.org/entity/Q5309299	uri	https://en.wikipedia.org/wiki/The_Drums_of_the_Fore_and_Aft	http://www.w3.org/2001/XMLSchema#integer	literal	1						en	literal	Drums of the Fore and Aft	en	literal	Rudyard Kipling			
66	43	uri	http://www.wikidata.org/entity/Q5432636	uri	https://en.wikipedia.org/wiki/False_Dawn_(short_story)	http://www.w3.org/2001/XMLSchema#integer	literal	1						en	literal	False Dawn	en	literal	Rudyard Kipling			
67	44	uri	http://www.wikidata.org/entity/Q5511057	uri	https://en.wikipedia.org/wiki/Fuzzy-Wuzzy	http://www.w3.org/2001/XMLSchema#integer	literal	2						en	literal	Fuzzy-Wuzzy	en	literal	Rudyard Kipling			
68	45	uri	http://www.wikidata.org/entity/Q5771939	uri	https://en.wikipedia.org/wiki/His_Chance_in_Life	http://www.w3.org/2001/XMLSchema#integer	literal	1						en	literal	His Chance in Life	en	literal	Rudyard Kipling			
69	46	uri	http://www.wikidata.org/entity/Q5772204	uri	https://en.wikipedia.org/wiki/His_Wedded_Wife	http://www.w3.org/2001/XMLSchema#integer	literal	1						en	literal	His Wedded Wife	en	literal	Rudyard Kipling			
70	47	uri	http://www.wikidata.org/entity/Q6009093	uri	https://en.wikipedia.org/wiki/In_Black_and_White_(short_story_collection)	http://www.w3.org/2001/XMLSchema#integer	literal	2						en	literal	In Black and White	en	literal	Rudyard Kipling			
71	48	uri	http://www.wikidata.org/entity/Q6343197	uri	https://en.wikipedia.org/wiki/Kaa%27s_Hunting	http://www.w3.org/2001/XMLSchema#integer	literal	7			http://www.w3.org/2001/XMLSchema#dateTime	literal	1894-01-01T00:00:00Z	en	literal	Kaa's Hunting	en	literal	Rudyard Kipling	en	literal	English
72	49	uri	http://www.wikidata.org/entity/Q6404782	uri	https://en.wikipedia.org/wiki/Kidnapped_(short_story)	http://www.w3.org/2001/XMLSchema#integer	literal	1						en	literal	Kidnapped	en	literal	Rudyard Kipling			
73	50	uri	http://www.wikidata.org/entity/Q6510242	uri	https://en.wikipedia.org/wiki/Learoyd,_Mulvaney_and_Ortheris	http://www.w3.org/2001/XMLSchema#integer	literal	1						en	literal	Learoyd, Mulvaney and Ortheris	en	literal	Rudyard Kipling			
74	51	uri	http://www.wikidata.org/entity/Q6533841	uri	https://en.wikipedia.org/wiki/Letting_in_the_Jungle	http://www.w3.org/2001/XMLSchema#integer	literal	5			http://www.w3.org/2001/XMLSchema#dateTime	literal	1894-01-01T00:00:00Z	en	literal	Letting in the Jungle	en	literal	Rudyard Kipling	en	literal	English
75	52	uri	http://www.wikidata.org/entity/Q6559098	uri	https://en.wikipedia.org/wiki/Lispeth	http://www.w3.org/2001/XMLSchema#integer	literal	3			http://www.w3.org/2001/XMLSchema#dateTime	literal	1886-01-01T00:00:00Z	en	literal	Lispeth	en	literal	Rudyard Kipling	en	literal	English
76	53	uri	http://www.wikidata.org/entity/Q7302393	uri	https://en.wikipedia.org/wiki/Recessional_(poem)	http://www.w3.org/2001/XMLSchema#integer	literal	3			http://www.w3.org/2001/XMLSchema#dateTime	literal	1897-01-01T00:00:00Z	en	literal	Recessional	en	literal	Rudyard Kipling	en	literal	English
77	54	uri	http://www.wikidata.org/entity/Q7319037	uri	https://en.wikipedia.org/wiki/Rewards_and_Fairies	http://www.w3.org/2001/XMLSchema#integer	literal	1	literal	4506574-3	http://www.w3.org/2001/XMLSchema#dateTime	literal	1910-01-01T00:00:00Z	en	literal	Rewards and Fairies	en	literal	Rudyard Kipling			
78	55	uri	http://www.wikidata.org/entity/Q7557397	uri	https://en.wikipedia.org/wiki/Soldiers_Three	http://www.w3.org/2001/XMLSchema#integer	literal	2						en	literal	Soldiers Three	en	literal	Rudyard Kipling			
79	56	uri	http://www.wikidata.org/entity/Q7714326	uri	https://en.wikipedia.org/wiki/The_Arrest_of_Lieutenant_Golightly	http://www.w3.org/2001/XMLSchema#integer	literal	1						en	literal	The Arrest of Lieutenant Golightly	en	literal	Rudyard Kipling			
80	57	uri	http://www.wikidata.org/entity/Q7715415	uri	https://en.wikipedia.org/wiki/The_Ballad_of_East_and_West	http://www.w3.org/2001/XMLSchema#integer	literal	5						en	literal	The Ballad of East and West	en	literal	Rudyard Kipling			
81	58	uri	http://www.wikidata.org/entity/Q7716388	uri	https://en.wikipedia.org/wiki/The_Bell_Buoy	http://www.w3.org/2001/XMLSchema#integer	literal	2			http://www.w3.org/2001/XMLSchema#dateTime	literal	1896-01-01T00:00:00Z	en	literal	The Bell Buoy	en	literal	Rudyard Kipling	en	literal	English
82	59	uri	http://www.wikidata.org/entity/Q7717395	uri	https://en.wikipedia.org/wiki/The_Betrothed_(poem)	http://www.w3.org/2001/XMLSchema#integer	literal	1						en	literal	The Betrothed	en	literal	Rudyard Kipling			
83	60	uri	http://www.wikidata.org/entity/Q7720818	uri	https://en.wikipedia.org/wiki/The_Butterfly_that_Stamped	http://www.w3.org/2001/XMLSchema#integer	literal	3						en	literal	The Butterfly that Stamped	en	literal	Rudyard Kipling			
84	61	uri	http://www.wikidata.org/entity/Q7727525	uri	https://en.wikipedia.org/wiki/The_Conversion_of_Aurelian_McGoggin	http://www.w3.org/2001/XMLSchema#integer	literal	1						en	literal	The Conversion of Aurelian McGoggin	en	literal	Rudyard Kipling			
85	62	uri	http://www.wikidata.org/entity/Q7729141	uri	https://en.wikipedia.org/wiki/The_Day%27s_Work	http://www.w3.org/2001/XMLSchema#integer	literal	1			http://www.w3.org/2001/XMLSchema#dateTime	literal	1898-01-01T00:00:00Z	en	literal	The Day's Work	en	literal	Rudyard Kipling			
86	63	uri	http://www.wikidata.org/entity/Q7736942	uri	https://en.wikipedia.org/wiki/The_Gods_of_the_Copybook_Headings	http://www.w3.org/2001/XMLSchema#integer	literal	2			http://www.w3.org/2001/XMLSchema#dateTime	literal	1919-01-01T00:00:00Z	en	literal	The Gods of the Copybook Headings	en	literal	Rudyard Kipling	en	literal	English
87	64	uri	http://www.wikidata.org/entity/Q7744466	uri	https://en.wikipedia.org/wiki/The_King%27s_Pilgrimage	http://www.w3.org/2001/XMLSchema#integer	literal	3						en	literal	The King's Pilgrimage	en	literal	Rudyard Kipling			
88	65	uri	http://www.wikidata.org/entity/Q7746252	uri	https://en.wikipedia.org/wiki/The_Last_of_the_Light_Brigade	http://www.w3.org/2001/XMLSchema#integer	literal	4			http://www.w3.org/2001/XMLSchema#dateTime	literal	1890-04-28T00:00:00Z	en	literal	The Last of the Light Brigade	en	literal	Rudyard Kipling			
89	66	uri	http://www.wikidata.org/entity/Q7752420	uri	https://en.wikipedia.org/wiki/The_Mother_Hive	http://www.w3.org/2001/XMLSchema#integer	literal	1						en	literal	The Mother Hive	en	literal	Rudyard Kipling			
90	67	uri	http://www.wikidata.org/entity/Q7755499	uri	https://en.wikipedia.org/wiki/The_Other_Man_(short_story)	http://www.w3.org/2001/XMLSchema#integer	literal	1						en	literal	The Other Man	en	literal	Rudyard Kipling			
